date,exit,entry,exit_p,bars,pnl,cap
2022-04-18,2022-04-21,17173.65,17392.6,3,11742.76,1011742.76
2022-08-22,2022-08-29,17490.7,17312.9,5,-11291.31,1000451.46
2022-09-16,2022-09-23,17530.85,17327.35,5,-12607.99,987843.46
2022-09-26,2022-09-30,17016.3,17094.35,4,3540.84,991384.31
2022-11-21,2022-11-24,18159.95,18484.1,3,16695.72,1008080.03
2022-12-07,2022-12-13,18560.5,18608.0,4,1570.51,1009650.53
2022-12-16,2022-12-23,18269.0,17806.8,5,-26540.68,983109.85
2023-01-06,2023-01-09,17859.45,18101.2,1,12317.86,995427.71
2023-01-27,2023-02-03,17604.35,17854.05,5,13116.72,1008544.43
2023-02-22,2023-03-01,17554.3,17450.9,5,-6946.22,1001598.21
2023-05-18,2023-05-22,18129.95,18314.4,2,9183.41,1010781.62
2023-08-03,2023-08-07,19381.65,19597.3,2,10230.08,1021011.7
2023-08-18,2023-08-23,19310.15,19444.0,3,6052.66,1027064.36
2023-09-21,2023-09-28,19742.35,19523.55,5,-12404.03,1014660.33
2023-10-20,2023-10-30,19542.65,19140.9,5,-21863.21,992797.11
2024-01-03,2024-01-05,21517.35,21710.8,2,7928.46,1000725.57
2024-03-13,2024-03-20,21997.7,21839.1,5,-8212.18,992513.39
2024-04-15,2024-04-22,22272.5,22336.4,4,1853.61,994367.0
2024-05-07,2024-05-14,22302.5,22217.85,5,-4766.66,989600.35
2024-05-30,2024-06-03,22488.65,23263.9,2,33107.78,1022708.13
2024-08-05,2024-08-12,24055.6,24347.0,5,11359.8,1034067.92
2024-09-06,2024-09-12,24852.15,25388.9,4,21288.28,1055356.21
2024-10-03,2024-10-10,25250.1,24998.45,5,-11568.11,1043788.1
2024-10-17,2024-10-24,24749.85,24399.4,5,-15816.07,1027972.03
2024-10-25,2024-10-29,24180.8,24466.85,2,11126.43,1039098.46
2024-11-12,2024-11-21,23883.45,23349.9,5,-24240.63,1014857.83
2024-12-18,2024-12-26,24198.85,23750.2,5,-19821.07,995036.76
2025-06-03,2025-06-05,24542.5,24750.9,2,7450.0,1002486.76
2025-06-13,2025-06-20,24718.6,25112.4,5,14960.5,1017447.26
2025-07-11,2025-07-18,25149.85,24968.4,5,-8354.38,1009092.88
2025-07-28,2025-08-04,24680.9,24722.75,5,701.1,1009793.98
2025-08-08,2025-08-14,24363.3,24631.3,4,10092.54,1019886.52
2025-08-28,2025-09-03,24500.9,24715.05,4,7889.99,1027776.5
2025-09-24,2025-10-01,25056.9,24836.3,5,-10071.74,1017704.76
2025-11-06,2025-11-11,25509.7,25694.95,3,6369.11,1024073.88
2025-12-03,2025-12-05,25986.0,26186.45,2,6871.41,1030945.29
2025-12-10,2025-12-12,25758.0,26046.95,2,10528.26,1041473.55
2025-12-30,2025-12-31,25938.85,26129.6,1,6613.52,1048087.07
2026-01-08,2026-01-16,25876.85,25694.35,5,-8436.17,1039650.9
2026-01-20,2026-01-28,25232.5,25342.75,5,3500.69,1043151.59
2026-02-13,2026-02-18,25471.1,25819.35,3,13212.06,1056363.65
