date,exit,side,z_entry,z_exit,stale,pnl,cap
2021-08-17,2021-09-30,long_bank,-2.27,-0.95,True,-9512.82,990487.18
2021-10-22,2021-11-10,short_bank,2.24,0.34,False,12318.9,1002806.09
2022-01-27,2022-02-28,short_bank,2.28,0.33,False,13201.64,1016007.73
2022-05-26,2022-06-09,short_bank,2.26,0.49,False,8790.58,1024798.31
2022-07-07,2022-08-22,short_bank,2.12,0.9,True,-7504.54,1017293.77
2022-09-02,2022-09-28,short_bank,2.08,0.44,False,692.25,1017986.02
2022-12-09,2023-01-17,short_bank,2.23,0.2,False,3110.09,1021096.1
2023-02-20,2023-02-28,long_bank,-2.17,-0.35,False,9030.79,1030126.9
2023-04-17,2023-05-30,short_bank,2.79,0.71,True,-584.54,1029542.35
2023-07-11,2023-08-23,long_bank,-2.24,-1.04,True,-4210.08,1025332.27
2023-10-18,2023-11-10,long_bank,-2.13,-0.45,False,4581.69,1029913.96
2023-11-17,2023-12-04,long_bank,-2.62,-0.2,False,7660.82,1037574.78
2024-01-09,2024-02-22,long_bank,-2.29,-1.01,True,-20785.0,1016789.77
2024-04-29,2024-05-16,short_bank,2.81,0.32,False,8499.29,1025289.07
2024-06-03,2024-06-04,short_bank,2.4,0.13,False,9353.31,1034642.38
2024-06-19,2024-07-02,short_bank,2.02,0.23,False,4576.13,1039218.51
2024-07-24,2024-09-05,long_bank,-2.11,-1.1,True,-15038.84,1024179.67
2024-10-18,2024-12-03,short_bank,2.27,1.33,True,-15114.02,1009065.65
2025-01-10,2025-01-28,long_bank,-2.19,-0.4,False,10580.86,1019646.51
2025-04-03,2025-05-12,short_bank,2.4,0.46,False,-1740.22,1017906.29
2025-07-24,2025-08-04,short_bank,2.08,0.12,False,5003.22,1022909.5
2025-08-20,2025-09-30,long_bank,-2.47,-0.24,False,-1799.14,1021110.36
2026-01-08,2026-02-23,short_bank,2.25,1.81,True,-17755.02,1003355.35
2026-02-24,2026-03-09,short_bank,2.17,0.02,False,12788.71,1016144.06
2026-03-30,2026-04-08,long_bank,-2.41,-0.48,False,15894.43,1032038.49
